marca,modelo,ano_vehic,antiguedad,rango_antiguedad,km,combustible,puertas,cv,transmision,ubicacion,particular,precio,segmento_precio,precio_por_cv,stats_visto,stats_favorito,stats_contactado,engagement_score,fuente
CITROEN,C3 PICASSO PURETECH 110 COLLECTION,2015.0,6,Reciente (4-7a),49.905,Gasolina,5.0,110.0,manual,Madrid,Profesional,9.5,Accesible (5-10K),86.36,53985,2,0,27052.0,Milanuncios
SEAT,CÓRDOBA,2006.0,15,Clásico (>12a),250.0,Diesel,5.0,100.0,manual,Caceres,Profesional,1.99,Económico (<5K),19.9,83814,4,1,42127.0,Milanuncios
FORD,MUSTANG,1994.0,27,Clásico (>12a),164.0,Gasolina,2.0,160.0,automat,Alicante,Profesional,2.999,Económico (<5K),18.74,529897,75,8,267998.0,Milanuncios
RENAULT,SCENIC CONFORT DYNAMIQUE 1. 9DCI,2004.0,17,Clásico (>12a),150.0,Diesel,5.0,120.0,manual,Valladolid,Profesional,4.6,Económico (<5K),38.33,27642,0,0,13821.0,Milanuncios
PEUGEOT,3008 HYBRID4,2012.0,9,Seminuevo (8-12a),84.5,Híbrido,5.0,200.0,automat,Albacete,Profesional,10.999,Medio (10-20K),55.0,17083,2,0,8602.0,Milanuncios
MINI,MINI ONE,2008.0,13,Clásico (>12a),135.0,Gasolina,3.0,95.0,manual,Valladolid,Profesional,6.9,Accesible (5-10K),72.63,39419,0,1,19810.0,Milanuncios
VOLKSWAGEN,GOLF 1. 9 TDI HIGHLINE DSG,2006.0,15,Clásico (>12a),175.0,Diesel,5.0,105.0,manual,Valladolid,Profesional,7.5,Accesible (5-10K),71.43,83731,10,1,42266.0,Milanuncios
RENAULT,ESPACE PRIVILEGE 2. 2 DCI 16V,2006.0,15,Clásico (>12a),145.0,Diesel,5.0,150.0,manual,Pontevedra,Profesional,4.99,Económico (<5K),33.27,153007,24,2,77424.0,Milanuncios
FORD,MONDEO 2. 0 TDCI 115 AMBIENTE,2003.0,18,Clásico (>12a),190.0,Diesel,5.0,115.0,manual,Valladolid,Profesional,4.0,Económico (<5K),34.78,164744,3,1,82562.0,Milanuncios
PORSCHE,PANAMERA 4 EHYBRID,2017.0,4,Reciente (4-7a),65.0,Híbrido,5.0,462.0,automat,Zaragoza,Profesional,89.999,Lujo (>35K),194.8,14335,1,1,7298.0,Milanuncios
TOYOTA,RAV4,2017.0,4,Reciente (4-7a),80.0,Híbrido,5.0,197.0,automat,Carrio,Particular,18.3,Medio (10-20K),92.89,77337,7,3,39178.0,Milanuncios
FORD,CMAX 1. 8 TDCI GHIA,2007.0,14,Clásico (>12a),135.0,Diesel,5.0,115.0,manual,Valladolid,Profesional,5.9,Accesible (5-10K),51.3,2239,0,0,1120.0,Milanuncios
PEUGEOT,5008 1. 2 PURETECH 96KW SS ALLURE PACK,2021.0,0,Casi nuevo (0-3a),82.6,Gasolina,5.0,130.0,manual,Malaga,Profesional,31.2,Premium (20-35K),240.0,9540,0,0,4770.0,Milanuncios
MERCEDES-BENZ,CLASE V 250 D MARCO POLO LARGO,2017.0,4,Reciente (4-7a),74.0,Diesel,4.0,204.0,automat,Alicante,Profesional,56.99,Lujo (>35K),279.36,4151,1,0,2106.0,Milanuncios
HYUNDAI,I30 1. 4 CRDI TECNO,2014.0,7,Reciente (4-7a),150.0,Diesel,5.0,90.0,manual,Madrid,Profesional,8.9,Accesible (5-10K),98.89,20491,0,0,10246.0,Milanuncios
VOLKSWAGEN,GOLF 2. 0 TDI 140CV HIGHLINE,2006.0,15,Clásico (>12a),180.0,Diesel,5.0,140.0,manual,Valladolid,Profesional,6.5,Accesible (5-10K),46.43,7497,3,0,3838.0,Milanuncios
PEUGEOT,208 5P ACCESS 1. 6 BLUEHDI 75,2016.0,5,Reciente (4-7a),98.0,Diesel,5.0,75.0,manual,Castellon,Profesional,8.3,Accesible (5-10K),110.67,3339,0,0,1670.0,Milanuncios
RENAULT,LAGUNA CONFORT DYNAMIQUE 1. 9DCI 120CV,2005.0,16,Clásico (>12a),169.0,Diesel,5.0,120.0,manual,Zaragoza,Profesional,2.999,Económico (<5K),24.99,7955,2,0,4038.0,Milanuncios
VOLKSWAGEN,TIGUAN 2. 0 TDI 170CV 4X4 SPORT,2012.0,9,Seminuevo (8-12a),168.0,Diesel,5.0,170.0,manual,Pontevedra,Profesional,13.3,Medio (10-20K),78.24,32385,3,1,16382.0,Milanuncios
SEAT,LEON 1. 2 TSI 81KW 110CV STSP STYLE,2018.0,3,Casi nuevo (0-3a),72.255,Gasolina,5.0,110.0,manual,Malaga,Profesional,11.5,Medio (10-20K),104.55,20959,1,0,10510.0,Milanuncios
VOLKSWAGEN,GOLF 2. 0 TDI 140CV DPF 4MOTION SPORT,2011.0,10,Seminuevo (8-12a),164.0,Diesel,5.0,140.0,manual,Pontevedra,Profesional,11.0,Medio (10-20K),78.57,36949,8,0,18714.0,Milanuncios
HYUNDAI,TUCSON 1. 6 CRDI 85KW 116CV 48V SLE 4X2,2020.0,1,Casi nuevo (0-3a),10.664,Híbrido,5.0,116.0,manual,Malaga,Profesional,21.4,Premium (20-35K),184.48,18346,0,0,9173.0,Milanuncios
HYUNDAI,IONIQ 1. 6 GDI HEV TECNO DCT,2019.0,2,Casi nuevo (0-3a),8.939,Híbrido,5.0,141.0,automat,Malaga,Profesional,18.8,Medio (10-20K),133.33,12741,1,0,6400.0,Milanuncios
